"chemical","mobject"
"http://linked.opendata.cz/resource/domain/irz/latka/1-2-3-4-5-6-hexachlorcyklohexan-hch-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/1-2-3-4-5-6-hexachlorcyklohexan-hch-"
"http://linked.opendata.cz/resource/domain/irz/latka/atrazin","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/atrazin"
"http://linked.opendata.cz/resource/domain/irz/latka/chlorpyrifos","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/chlorpyrifos"
"http://linked.opendata.cz/resource/domain/irz/latka/diuron","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/diuron"
"http://linked.opendata.cz/resource/domain/irz/latka/hexachlorbenzen-hcb-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/hexachlorbenzen-hcb-"
"http://linked.opendata.cz/resource/domain/irz/latka/lindan","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/lindan"
"http://linked.opendata.cz/resource/domain/irz/latka/pentachlorbenzen","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/pentachlorbenzen"
"http://linked.opendata.cz/resource/domain/irz/latka/pentachlorfenol-pcp-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/pentachlorfenol-pcp-"
"http://linked.opendata.cz/resource/domain/irz/latka/vinylchlorid","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/vinylchlorid"
"http://linked.opendata.cz/resource/domain/irz/latka/amoniak-nh3-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/amoniak-nh3-"
"http://linked.opendata.cz/resource/domain/irz/latka/arsen-a-sloučeniny-jako-as-","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/arsen-a-sloučeniny-jako-as-"
"http://linked.opendata.cz/resource/domain/irz/latka/azbest","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/azbest"
"http://linked.opendata.cz/resource/domain/irz/latka/benzen","http://linked.opendata.cz/ontology/domain/cenia.cz/chemicals/benzen"
