"iri","notation","label"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/37/38","R36/37/38","Dráždí oči, dýchací orgány a kůži"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/37/38","R36/37/38","Dráždí oči, dýchací orgány a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/37/38","R36/37/38 (1,2,3-trichlorbenzen)","Dráždí oči, dýchací orgány a kůži"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/37/38","R36/37/38 (1,2,3-trichlorbenzen)","Dráždí oči, dýchací orgány a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/37/38","R36/37/38 (chlor)","Dráždí oči, dýchací orgány a kůži"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/37/38","R36/37/38 (chlor)","Dráždí oči, dýchací orgány a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/37/38","R36/37/38 (nonylfenol ethoxylát)","Dráždí oči, dýchací orgány a kůži"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/37/38","R36/37/38 (nonylfenol ethoxylát)","Dráždí oči, dýchací orgány a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R45","R45","Může vyvolat rakovinu."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/25","R48/25","Toxický: nebezpečí vážného poškození zdraví při dlouhodobé expozici požíváním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/25","R48/25","Toxický: nebezpečí vážného poškození zdraví při dlouhodobé expozici."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R67","R67","Vdechování par může způsobit ospalost a závratě."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23/24/25","R23/24/25","Toxický při vdechování, styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23/24/25","R23/24/25 (trifenylcín-chlorid)","Toxický při vdechování, styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/20/22","R48/20/22","Zdraví škodlivý: nebezpečí vážného poškození zdraví při dlouhodobé expozici vdechováním a požíváním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36","R36","Dráždí oči."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36","R36 (4-oktylfenol)","Dráždí oči."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R34","R34","Způsobuje poleptání"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R34","R34","Způsobuje poleptání."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R34","R34 (4-nonylfenol)","Způsobuje poleptání"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R34","R34 (4-nonylfenol)","Způsobuje poleptání."
